2022-05-07 22:44:44,158 [MainThread  ] [INFO ]  Evaluations: 3. fitness: [103803201.08333331], solution: TimePeriodSolution({99: ['05:00:00', '06:20:00', '07:30:00', '08:40:00', '17:10:00', '18:40:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:44,648 [MainThread  ] [INFO ]  Evaluations: 4. fitness: [107772232.33333331], solution: TimePeriodSolution({99: ['05:00:00', '06:20:00', '08:00:00', '09:00:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:44,738 [MainThread  ] [INFO ]  Evaluations: 4. fitness: [107772232.33333331], solution: TimePeriodSolution({99: ['05:00:00', '06:10:00', '08:00:00', '09:00:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:44,747 [MainThread  ] [INFO ]  Evaluations: 4. fitness: [109063741.58333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:50:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:44,781 [MainThread  ] [INFO ]  Evaluations: 4. fitness: [108817163.08333331], solution: TimePeriodSolution({99: ['05:00:00', '06:50:00', '08:00:00', '09:00:00', '17:20:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:44,789 [MainThread  ] [INFO ]  Evaluations: 4. fitness: [108082323.58333331], solution: TimePeriodSolution({99: ['05:00:00', '06:40:00', '08:00:00', '09:00:00', '17:30:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:44,794 [MainThread  ] [INFO ]  Evaluations: 4. fitness: [108897987.33333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:20:00', '17:10:00', '18:40:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:44,805 [MainThread  ] [INFO ]  Evaluations: 4. fitness: [109063741.58333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:20:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:44,925 [MainThread  ] [INFO ]  Evaluations: 4. fitness: [108051538.58333331], solution: TimePeriodSolution({99: ['05:00:00', '06:40:00', '08:00:00', '09:00:00', '17:10:00', '19:00:00', '20:20:00', '25:00:00']})
2022-05-07 22:44:44,943 [MainThread  ] [INFO ]  Evaluations: 4. fitness: [106616927.08333331], solution: TimePeriodSolution({99: ['05:00:00', '06:40:00', '07:50:00', '09:00:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:44,967 [MainThread  ] [INFO ]  Evaluations: 4. fitness: [108817163.08333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:00:00', '17:20:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:45,001 [MainThread  ] [INFO ]  Evaluations: 4. fitness: [103710303.33333331], solution: TimePeriodSolution({99: ['05:00:00', '06:20:00', '07:30:00', '09:00:00', '17:30:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:45,028 [MainThread  ] [INFO ]  Evaluations: 4. fitness: [108895372.33333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:00:00', '17:40:00', '19:00:00', '20:00:00', '25:00:00']})
